date,district,pm25,pm10,no2,o3,temperature,humidity,wind_speed,aqi
2023-03-02,Esil,43.33,80.21,55.4,50.98,0.99,41.28,7.3,96.7
2023-03-03,Esil,42.28,71.04,48.32,52.95,-5.59,57.46,5.75,85.0
2023-03-04,Esil,37.74,62.54,63.19,40.81,-2.58,55.18,6.72,82.1
2023-03-05,Esil,42.63,71.07,31.44,29.27,-2.08,72.1,1.61,73.2
2023-03-06,Esil,46.35,73.08,53.95,15.49,-4.84,71.36,10.42,69.7
2023-03-07,Esil,37.06,68.34,56.39,33.25,-5.21,79.77,9.49,74.5
2023-03-08,Esil,44.43,70.32,65.14,68.67,-3.59,40.45,6.78,82.7
2023-03-09,Esil,50.08,84.95,29.03,52.43,-5.74,79.52,2.56,102.6
2023-03-10,Esil,40.46,61.6,33.78,30.37,1.87,37.53,2.99,82.2
2023-03-11,Esil,34.67,66.62,52.28,52.45,0.87,54.66,1.93,71.5
2023-03-12,Esil,44.94,75.01,65.71,38.57,-2.79,32.91,5.03,94.5
2023-03-13,Esil,34.51,66.43,37.38,45.05,4.05,55.24,11.01,71.6
2023-03-14,Esil,38.35,60.92,38.45,21.59,-4.47,49.93,11.09,75.7
2023-03-15,Esil,34.06,51.21,34.12,53.62,-3.51,52.41,4.38,70.2
2023-03-16,Esil,38.95,76.02,57.72,67.17,-5.65,61.02,6.25,74.9
2023-03-17,Esil,32.78,58.24,52.54,69.51,-4.25,35.71,9.06,55.7
2023-03-18,Esil,36.3,56.7,22.94,59.37,-0.03,66.69,9.25,72.0
2023-03-19,Esil,39.59,75.1,26.12,46.37,1.92,53.25,11.76,79.6
2023-03-20,Esil,33.61,51.23,25.55,54.48,1.37,71.13,1.41,60.3
2023-03-21,Esil,41.59,63.4,34.2,49.67,1.34,73.27,9.13,84.9
2023-03-22,Esil,40.56,68.98,66.95,52.36,0.35,55.73,8.45,77.1
2023-03-23,Esil,35.05,62.93,40.36,26.12,-6.72,47.4,10.39,66.7
2023-03-24,Esil,32.26,61.42,69.62,30.05,-2.57,34.24,4.76,63.0
2023-03-25,Esil,29.62,53.24,38.5,69.3,0.61,58.74,11.97,77.5
2023-03-26,Esil,43.86,66.18,45.82,49.68,0.77,48.27,1.74,102.4
2023-03-27,Esil,32.49,53.35,64.6,27.9,0.58,77.96,9.27,55.8
2023-03-28,Esil,40.81,74.55,37.21,27.94,3.25,56.48,9.17,95.0
2023-03-29,Esil,41.35,78.4,61.6,39.59,3.11,73.72,4.12,94.3
2023-03-30,Esil,33.66,63.75,29.36,50.03,6.07,63.73,9.96,87.5
2023-03-31,Esil,36.43,55.3,68.92,19.49,1.19,77.77,6.64,71.2
2023-04-01,Esil,36.81,60.96,23.59,17.27,-4.14,33.28,6.01,73.5
2023-04-02,Esil,41.8,70.94,43.37,14.85,6.22,64.91,3.28,98.4
2023-04-03,Esil,31.11,51.84,40.9,60.73,0.22,30.06,6.59,57.3
2023-04-04,Esil,30.99,57.08,30.71,35.29,3.29,46.12,3.67,73.9
2023-04-05,Esil,36.02,54.88,27.72,68.13,0.41,53.04,8.83,77.2
2023-04-06,Esil,27.63,44.78,46.75,53.09,6.41,31.56,2.22,48.3
2023-04-07,Esil,38.48,72.59,64.32,29.87,4.62,72.67,7.81,82.1
2023-04-08,Esil,39.4,75.12,37.74,60.84,1.53,60.17,11.83,87.5
2023-04-09,Esil,40.4,61.2,39.44,17.35,8.57,50.7,4.49,87.2
2023-04-10,Esil,41.53,80.77,52.15,19.87,1.22,65.4,9.12,89.8
2023-04-11,Esil,29.32,44.04,19.62,74.73,2.02,38.65,6.58,70.3
2023-04-12,Esil,32.59,59.02,33.44,19.3,5.58,74.87,10.68,62.9
2023-04-13,Esil,33.07,59.45,31.48,69.48,7.32,63.18,10.2,75.6
2023-04-14,Esil,37.82,70.46,49.69,59.68,3.49,57.68,5.36,72.3
2023-04-15,Esil,34.98,61.56,40.89,21.3,5.3,55.73,1.14,80.2
2023-04-16,Esil,31.24,49.65,29.35,67.93,5.29,64.13,2.64,72.4
2023-04-17,Esil,33.7,56.94,45.96,59.38,3.24,53.49,9.07,52.0
2023-04-18,Esil,34.94,67.54,60.39,23.07,8.14,58.5,2.15,91.3
2023-04-19,Esil,32.04,59.58,63.99,43.62,12.69,31.16,11.77,80.4
2023-04-20,Esil,39.67,78.05,45.28,32.34,16.94,59.05,5.5,97.1
2023-04-21,Esil,38.13,63.67,69.18,31.22,8.47,36.56,2.79,75.3
2023-04-22,Esil,39.36,62.69,47.91,44.07,7.68,74.05,4.06,88.4
2023-04-23,Esil,31.6,55.23,25.01,33.28,8.91,54.07,11.55,71.7
2023-04-24,Esil,36.17,72.02,68.5,21.06,7.98,73.84,10.92,84.6
2023-04-25,Esil,27.16,49.12,45.27,30.6,12.24,57.64,2.07,67.1
2023-04-26,Esil,28.52,47.01,37.12,42.48,7.78,72.6,7.43,66.9
2023-04-27,Esil,41.0,79.87,27.32,31.91,8.48,40.34,11.36,84.3
2023-04-28,Esil,30.12,55.89,61.6,69.89,6.87,50.68,5.95,61.1
2023-04-29,Esil,32.61,64.23,64.18,65.58,10.92,42.42,3.69,75.9
2023-04-30,Esil,31.26,48.95,25.66,78.47,15.18,56.49,6.9,87.1
2023-05-01,Esil,26.4,42.95,19.42,29.19,14.67,38.18,7.1,68.9
2023-05-02,Esil,33.93,59.92,29.54,78.82,12.58,60.41,6.12,84.4
2023-05-03,Esil,36.42,60.85,23.43,32.85,-0.83,53.44,2.68,72.0
2023-05-04,Esil,38.43,75.4,43.43,59.17,17.03,67.54,9.73,94.0
2023-05-05,Esil,38.83,60.75,29.26,53.37,6.4,44.04,1.68,88.4
2023-05-06,Esil,35.91,65.72,50.76,47.45,12.53,45.96,8.99,89.1
2023-05-07,Esil,32.36,49.2,42.19,70.21,6.26,38.86,8.46,70.6
2023-05-08,Esil,37.82,70.7,41.5,50.94,9.58,45.12,11.42,93.2
2023-05-09,Esil,31.3,52.31,39.8,45.93,11.57,75.35,5.61,75.0
2023-05-10,Esil,33.92,51.21,36.5,31.28,12.4,63.37,8.21,77.1
2023-05-11,Esil,30.17,49.41,25.98,34.26,6.58,42.33,8.35,71.3
2023-05-12,Esil,19.91,39.35,46.48,37.65,12.65,40.13,6.96,51.9
2023-05-13,Esil,28.57,43.19,38.58,74.29,15.0,78.81,5.4,79.9
2023-05-14,Esil,23.65,41.92,41.59,58.38,10.35,76.8,10.39,51.8
2023-05-15,Esil,23.11,45.97,54.18,66.06,9.6,75.63,11.16,57.1
2023-05-16,Esil,32.25,53.03,32.56,58.54,19.66,52.82,3.64,82.2
2023-05-17,Esil,24.71,37.16,34.22,71.32,16.83,70.8,10.47,76.9
2023-05-18,Esil,30.74,61.46,28.85,29.28,12.38,68.72,2.27,85.0
2023-05-19,Esil,28.2,44.24,58.0,41.19,21.17,76.65,11.79,77.0
2023-05-20,Esil,30.92,52.92,46.88,49.69,11.66,35.59,10.16,80.6
2023-05-21,Esil,26.25,40.63,54.27,80.13,13.55,79.6,11.99,75.9
2023-05-22,Esil,34.26,57.44,59.65,71.34,16.53,51.24,1.57,78.8
2023-05-23,Esil,26.33,45.96,62.55,31.95,17.17,46.08,9.24,69.7
2023-05-24,Esil,23.79,36.31,17.16,49.81,16.78,37.68,6.87,61.5
2023-05-25,Esil,26.51,41.72,60.99,70.56,12.94,62.61,10.05,63.9
2023-05-26,Esil,35.67,58.1,58.32,48.89,11.55,34.64,5.34,84.2
2023-05-27,Esil,27.34,51.29,24.15,29.12,18.87,48.4,3.41,69.4
2023-05-28,Esil,33.76,52.95,52.8,48.61,16.87,71.16,5.38,85.3
2023-05-29,Esil,19.12,30.79,48.54,40.48,13.92,78.78,10.6,39.2
2023-05-30,Esil,35.33,53.47,23.07,54.55,11.05,57.55,10.11,67.8
2023-05-31,Esil,18.59,33.09,34.84,39.4,13.75,50.93,9.34,53.4
2023-06-01,Esil,30.08,45.13,29.64,72.77,10.22,58.2,8.44,74.3
2023-06-02,Esil,32.96,64.87,22.86,34.37,16.1,74.51,6.17,97.8
2023-06-03,Esil,23.92,38.36,38.31,31.11,10.66,63.98,3.36,58.0
2023-06-04,Esil,23.9,40.11,30.41,58.08,12.47,46.02,4.97,56.2
2023-06-05,Esil,22.72,35.4,47.8,29.74,13.93,76.48,2.1,69.5
2023-06-06,Esil,31.07,47.29,39.38,40.43,14.42,70.99,6.79,72.2
2023-06-07,Esil,23.39,40.92,41.7,81.72,16.29,70.31,2.87,62.8
2023-06-08,Esil,31.98,51.07,24.76,73.4,15.65,59.24,2.41,71.7
2023-06-09,Esil,27.7,54.38,64.95,47.84,19.77,50.43,5.75,61.5
2023-06-10,Esil,28.6,50.83,34.62,43.86,17.67,58.4,6.08,73.9
2023-06-11,Esil,26.04,41.85,45.95,70.14,20.03,38.3,8.95,69.8
2023-06-12,Esil,29.11,44.43,66.01,43.9,12.34,76.38,7.57,74.0
2023-06-13,Esil,37.22,66.31,22.49,63.67,13.01,30.23,1.42,71.2
2023-06-14,Esil,30.47,50.74,63.08,40.73,8.87,53.29,1.06,77.7
2023-06-15,Esil,14.25,25.19,62.54,82.69,15.45,38.03,9.52,37.0
2023-06-16,Esil,13.81,26.32,38.23,56.84,11.49,59.71,10.66,18.4
2023-06-17,Esil,25.21,39.3,57.3,71.22,11.99,51.25,5.07,65.8
2023-06-18,Esil,30.65,53.07,53.7,32.02,16.69,73.72,1.26,73.2
2023-06-19,Esil,33.44,58.88,30.75,29.16,14.93,60.94,1.44,88.1
2023-06-20,Esil,24.88,47.39,66.19,24.55,9.37,34.84,11.42,65.0
2023-06-21,Esil,28.45,43.18,45.26,85.49,23.13,61.71,5.72,96.7
2023-06-22,Esil,26.39,40.18,64.71,72.96,15.97,65.29,4.32,71.0
2023-06-23,Esil,23.05,41.11,36.78,52.45,20.72,37.79,6.88,72.3
2023-06-24,Esil,29.3,58.08,23.51,71.06,9.77,45.53,3.08,77.0
2023-06-25,Esil,15.74,24.61,54.51,54.8,10.41,78.79,10.26,42.8
2023-06-26,Esil,10.12,17.49,32.35,47.57,15.8,78.59,8.75,34.7
2023-06-27,Esil,19.41,38.14,46.43,27.55,18.65,33.87,9.58,59.4
2023-06-28,Esil,26.11,51.38,66.69,33.59,9.25,78.79,3.41,59.6
2023-06-29,Esil,30.57,59.8,46.03,58.55,14.22,33.17,3.15,79.7
2023-06-30,Esil,29.67,49.67,23.43,34.39,13.53,60.89,10.51,81.1
2023-07-01,Esil,22.79,36.26,32.87,63.46,17.66,48.92,9.48,54.7
2023-07-02,Esil,27.79,54.69,27.73,29.47,17.17,41.43,8.94,59.0
2023-07-03,Esil,10.81,18.84,37.14,50.82,15.35,55.41,5.8,37.9
2023-07-04,Esil,25.89,51.54,41.22,73.83,10.41,41.4,8.01,58.0
2023-07-05,Esil,22.37,38.35,48.61,73.67,13.54,71.11,8.13,58.5
2023-07-06,Esil,20.56,34.66,37.42,74.52,19.81,63.13,8.39,59.4
2023-07-07,Esil,17.83,27.91,25.28,59.3,10.52,52.99,3.37,27.8
2023-07-08,Esil,19.93,31.44,25.86,40.36,13.73,43.63,2.22,57.3
2023-07-09,Esil,19.86,33.34,39.88,32.16,14.57,68.03,8.79,54.8
2023-07-10,Esil,19.4,29.77,39.88,69.2,12.29,36.36,7.05,41.4
2023-07-11,Esil,20.13,33.82,24.86,52.12,16.19,52.41,10.03,59.2
2023-07-12,Esil,26.68,41.77,39.95,36.66,7.64,67.59,4.45,46.2
2023-07-13,Esil,29.18,53.15,62.11,78.5,8.82,68.16,11.23,46.3
2023-07-14,Esil,28.77,44.32,19.42,49.41,13.06,75.43,9.71,75.8
2023-07-15,Esil,18.86,29.32,26.92,71.47,15.33,58.41,7.07,38.4
2023-07-16,Esil,27.02,45.96,31.51,56.35,10.76,73.65,10.79,63.5
2023-07-17,Esil,28.07,44.84,21.32,75.39,8.1,57.85,4.26,62.5
2023-07-18,Esil,30.52,58.18,32.39,73.29,9.19,64.07,3.11,72.6
2023-07-19,Esil,23.26,46.11,30.21,46.52,10.75,70.72,3.59,44.7
2023-07-20,Esil,23.43,44.92,27.68,22.15,13.15,68.79,9.49,67.9
2023-07-21,Esil,25.84,49.22,22.2,41.7,6.3,31.93,3.29,46.3
2023-07-22,Esil,24.41,42.47,60.41,56.54,5.78,39.44,3.15,50.1
2023-07-23,Esil,26.76,43.42,54.52,66.83,13.81,50.59,5.44,76.3
2023-07-24,Esil,33.57,55.22,59.87,75.91,16.33,40.03,3.04,80.5
2023-07-25,Esil,26.82,52.88,38.15,34.75,13.26,43.71,3.8,52.7
2023-07-26,Esil,27.19,51.44,28.7,76.21,13.22,31.76,2.78,76.7
2023-07-27,Esil,32.99,54.53,50.84,61.53,5.06,41.38,1.56,73.2
2023-07-28,Esil,28.78,55.78,45.01,65.33,12.79,76.93,9.01,74.7
2023-07-29,Esil,26.91,47.16,47.2,40.6,4.54,35.89,3.62,54.6
2023-07-30,Esil,22.01,38.77,26.03,68.36,10.1,42.34,9.1,40.2
2023-07-31,Esil,17.11,31.13,38.83,82.63,13.71,75.89,11.83,41.3
2023-08-01,Esil,23.02,38.93,65.9,74.39,11.96,73.78,4.12,61.5
2023-08-02,Esil,26.61,50.95,19.2,33.11,10.44,46.84,7.67,56.0
2023-08-03,Esil,31.07,60.04,20.86,42.24,9.33,54.78,1.61,79.7
2023-08-04,Esil,19.89,37.26,60.25,33.56,9.16,67.49,3.83,52.4
2023-08-05,Esil,28.03,55.47,53.91,57.12,9.19,42.28,3.54,47.6
2023-08-06,Esil,27.16,43.48,62.55,68.83,11.11,53.81,5.94,47.7
2023-08-07,Esil,23.68,46.44,33.71,31.48,12.13,37.05,11.7,48.7
2023-08-08,Esil,37.68,57.92,27.93,68.68,13.16,36.01,1.78,85.4
2023-08-09,Esil,23.52,41.42,52.69,47.16,10.05,61.55,10.7,64.7
2023-08-10,Esil,24.77,39.06,29.75,68.33,5.53,38.49,9.76,45.9
2023-08-11,Esil,29.81,49.3,29.77,61.1,11.45,72.82,1.86,66.8
2023-08-12,Esil,30.29,54.86,49.6,54.98,7.26,58.44,4.19,70.0
2023-08-13,Esil,19.78,34.09,36.39,23.99,5.5,63.74,8.51,52.7
2023-08-14,Esil,26.04,46.17,55.83,46.18,6.06,67.15,3.61,73.2
2023-08-15,Esil,27.33,49.22,55.07,24.83,11.97,76.4,6.41,67.7
2023-08-16,Esil,32.42,64.22,42.25,24.91,1.08,76.08,6.43,77.1
2023-08-17,Esil,25.27,47.18,19.19,50.75,3.2,30.03,5.75,54.5
2023-08-18,Esil,28.01,51.0,39.02,63.11,6.27,38.37,7.89,48.5
2023-08-19,Esil,29.98,59.94,30.19,35.8,9.17,55.01,9.32,70.2
2023-08-20,Esil,28.63,50.49,50.54,69.89,8.03,59.12,11.93,72.7
2023-08-21,Esil,28.32,48.7,67.78,78.92,10.96,56.43,10.16,66.4
2023-08-22,Esil,29.94,53.3,44.26,56.87,9.31,43.46,4.53,68.2
2023-08-23,Esil,27.97,44.59,60.92,46.82,11.27,46.68,4.64,51.4
2023-08-24,Esil,33.03,52.46,52.7,33.25,6.71,57.7,1.23,80.1
2023-08-25,Esil,35.04,55.29,50.84,43.57,7.8,59.09,1.24,71.2
2023-08-26,Esil,25.93,41.2,62.97,52.97,10.38,70.14,10.82,64.6
2023-08-27,Esil,20.21,39.94,40.76,38.24,8.52,63.0,8.97,63.7
2023-08-28,Esil,37.14,68.91,22.06,43.89,9.94,41.22,1.51,88.1
2023-08-29,Esil,28.65,44.45,42.35,51.59,2.24,68.83,9.92,44.7
2023-08-30,Esil,30.28,48.09,60.3,71.68,4.38,41.18,6.0,75.7
2023-08-31,Esil,19.74,29.73,54.07,77.64,6.75,30.89,11.17,50.3
2023-09-01,Esil,15.74,28.44,45.46,43.07,2.36,57.52,1.86,43.1
2023-09-02,Esil,35.6,68.51,44.3,45.22,3.5,66.99,1.83,68.0
2023-09-03,Esil,32.64,52.54,42.99,71.25,2.45,66.66,5.06,80.9
2023-09-04,Esil,23.24,37.68,47.91,70.9,-0.1,72.98,5.16,49.5
2023-09-05,Esil,21.42,39.36,33.41,20.0,0.02,79.37,2.66,61.0
2023-09-06,Esil,26.29,46.26,60.02,43.34,3.62,44.26,4.69,48.5
2023-09-07,Esil,23.46,36.85,24.67,57.73,2.34,35.79,10.74,55.0
2023-09-08,Esil,33.22,58.51,33.95,17.11,3.67,36.99,5.85,86.3
2023-09-09,Esil,32.29,52.45,42.52,36.52,-1.32,62.57,2.2,62.3
2023-09-10,Esil,27.23,47.86,35.41,41.1,2.54,56.52,7.53,48.3
2023-09-11,Esil,36.79,69.24,35.28,61.57,3.36,77.12,1.24,79.2
2023-09-12,Esil,28.67,50.84,25.94,34.61,0.34,79.05,1.47,69.5
2023-09-13,Esil,30.87,53.71,68.16,43.02,1.39,52.63,10.27,65.9
2023-09-14,Esil,26.45,45.27,64.44,47.95,6.19,43.29,6.54,54.2
2023-09-15,Esil,20.58,33.75,58.95,40.05,1.55,55.23,10.45,40.6
2023-09-16,Esil,29.18,49.48,28.76,57.38,4.83,39.32,4.32,73.1
2023-09-17,Esil,34.32,63.77,43.62,33.65,-2.34,43.17,4.91,62.2
2023-09-18,Esil,22.56,34.27,41.5,24.11,2.37,40.69,10.9,72.1
2023-09-19,Esil,19.07,35.38,51.4,76.37,1.23,70.35,11.31,54.8
2023-09-20,Esil,29.63,53.53,19.6,70.08,0.69,55.96,6.87,61.2
2023-09-21,Esil,30.96,46.94,33.25,24.68,-1.41,35.41,3.64,63.6
2023-09-22,Esil,33.98,51.39,30.3,58.36,-0.48,46.95,4.61,79.1
2023-09-23,Esil,27.83,52.51,56.59,65.8,1.43,55.21,6.85,60.6
2023-09-24,Esil,33.98,66.76,24.91,73.51,1.3,68.34,9.87,74.4
2023-09-25,Esil,32.64,62.0,49.91,61.6,-6.56,62.81,1.38,56.9
2023-09-26,Esil,38.71,63.19,41.25,37.24,-1.04,50.71,1.47,81.0
2023-09-27,Esil,34.98,61.26,41.38,27.64,-1.61,74.69,5.69,71.9
2023-09-28,Esil,33.71,64.45,32.95,70.64,-1.61,47.6,7.22,66.5
2023-09-29,Esil,35.34,56.01,61.51,47.25,-1.47,71.91,2.56,72.3
2023-09-30,Esil,28.34,43.35,48.4,61.44,-3.69,35.76,7.2,53.6
2023-10-01,Esil,27.33,53.79,62.93,24.41,-2.57,42.93,8.29,58.0
2023-10-02,Esil,30.33,47.08,69.09,38.44,-5.63,65.9,5.87,69.6
2023-10-03,Esil,49.12,96.52,72.11,28.28,-1.55,76.12,1.97,95.1
2023-10-04,Esil,36.34,59.11,56.17,13.29,-6.94,50.81,3.09,75.6
2023-10-05,Esil,22.96,45.35,54.31,65.45,-5.08,46.95,8.21,43.2
2023-10-06,Esil,36.72,56.2,39.46,25.12,-5.61,48.42,6.91,74.0
2023-10-07,Esil,31.69,53.01,46.2,54.96,-10.02,43.09,7.9,59.3
2023-10-08,Esil,31.24,59.25,22.31,38.06,-2.88,78.31,6.74,69.6
2023-10-09,Esil,31.72,49.58,57.09,43.12,-2.0,52.92,2.02,59.8
2023-10-10,Esil,33.79,64.92,63.59,10.61,-9.64,61.45,7.74,64.5
2023-10-11,Esil,35.76,57.01,37.68,53.23,-3.69,73.02,8.13,64.8
2023-10-12,Esil,28.36,46.68,67.11,52.42,-8.8,74.4,9.41,41.4
2023-10-13,Esil,29.12,44.3,18.98,56.41,-3.08,44.96,1.43,50.4
2023-10-14,Esil,39.91,66.35,48.06,34.69,-6.39,53.58,6.35,87.4
2023-10-15,Esil,37.85,60.19,38.96,27.32,-4.72,79.75,1.87,80.6
2023-10-16,Esil,34.79,53.35,40.6,14.23,-7.25,54.81,11.11,68.3
2023-10-17,Esil,34.11,59.66,49.26,27.77,-16.03,40.45,3.18,67.6
2023-10-18,Esil,37.8,63.68,49.73,13.47,-6.24,51.42,8.59,78.0
2023-10-19,Esil,42.52,65.19,65.88,59.69,-3.87,66.39,4.17,82.1
2023-10-20,Esil,19.94,35.38,37.29,59.52,-8.44,32.81,10.39,50.6
2023-10-21,Esil,41.93,63.98,46.46,60.94,-7.7,79.45,2.65,85.9
2023-10-22,Esil,47.66,83.92,47.41,26.65,-6.86,43.17,5.6,103.7
2023-10-23,Esil,27.04,48.7,24.8,52.15,-8.14,48.25,2.65,43.1
2023-10-24,Esil,36.63,68.9,70.35,8.84,-13.05,37.53,1.09,74.9
2023-10-25,Esil,24.87,37.44,47.22,71.46,-6.07,59.61,9.32,46.0
2023-10-26,Esil,39.68,75.23,59.56,60.17,-10.89,36.2,7.11,65.1
2023-10-27,Esil,44.05,86.61,57.31,61.87,-15.58,57.79,4.27,77.2
2023-10-28,Esil,44.82,79.05,26.81,63.03,-7.79,54.36,2.18,79.1
2023-10-29,Esil,37.67,70.18,24.73,48.9,-10.15,68.27,2.07,71.3
2023-10-30,Esil,28.53,47.4,53.42,66.77,-9.89,71.41,8.9,39.1
2023-10-31,Esil,26.35,41.64,28.03,43.19,-7.82,51.86,9.32,42.0
2023-11-01,Esil,35.04,62.8,53.38,49.46,-13.5,32.45,5.45,65.0
2023-11-02,Esil,33.36,51.73,33.67,38.82,-12.3,61.24,6.91,41.2
2023-11-03,Esil,29.04,54.21,60.08,43.8,-12.01,34.52,7.52,45.4
2023-11-04,Esil,26.91,47.36,36.49,11.4,-12.48,52.31,10.51,47.3
2023-11-05,Esil,35.86,58.0,26.04,29.44,-7.36,48.67,11.39,61.3
2023-11-06,Esil,31.97,54.38,22.14,63.69,-10.64,68.63,9.83,59.2
2023-11-07,Esil,44.39,77.65,25.01,47.4,-9.4,57.61,3.33,91.8
2023-11-08,Esil,44.03,86.67,49.83,45.32,-8.83,43.86,1.59,93.4
2023-11-09,Esil,34.94,67.03,27.77,19.98,-13.27,35.97,2.06,57.1
2023-11-10,Esil,42.14,76.41,68.25,13.66,-13.95,38.16,7.2,80.0
2023-11-11,Esil,28.46,51.78,53.06,10.28,-10.03,71.45,7.94,66.3
2023-11-12,Esil,39.66,69.6,47.26,30.99,-14.59,69.07,5.15,82.6
2023-11-13,Esil,45.27,74.56,50.75,34.85,-12.1,78.5,2.9,84.4
2023-11-14,Esil,41.5,67.69,45.64,5.0,-18.83,44.26,8.62,81.8
2023-11-15,Esil,44.38,75.36,25.38,12.3,-9.64,67.34,6.68,87.2
2023-11-16,Esil,39.83,76.21,49.21,44.17,-10.12,30.79,7.13,73.8
